CNPJ_FUNDO,DIAS_OPERADOS,RETORNO_MEDIO_DIARIO,VOLATILIDADE_RISCO
18.428.655/0001-20,102,0.000308349073,0.0004854194063
34.309.552/0001-06,102,0.000632587152,0.01104089104
30.530.779/0001-18,102,0.000278431241,0.0128330376
36.617.752/0001-43,102,0.000351046997,0.0003878247027
18.956.713/0001-99,102,0.000378944095,0.008060357312
41.681.126/0001-56,102,0.000811838183,0.01160075071
13.198.960/0001-50,102,0.000257137773,0.0007978847035
08.973.942/0001-68,102,0.000373493652,0.01650596141
67.976.449/0001-60,102,0.000197749729,0.01196910018
07.195.440/0001-90,102,0.001333396432,0.009617971044
34.258.120/0001-05,102,0.000135163114,0.003964751442
18.391.138/0001-24,102,-0.000099356870,0.005039463761
23.720.500/0001-01,102,0.000215462925,0.0006074265388
41.012.681/0001-95,102,0.000868916190,0.01255345192
34.081.680/0001-37,102,0.000833276642,0.001848219684
30.521.927/0001-38,102,0.000228911166,0.003806855527
37.927.930/0001-03,102,0.000289492788,0.006862511129
20.658.901/0001-82,102,0.000356923050,0.002222836926
41.319.939/0001-09,102,-0.000807369799,0.01198161721
35.650.703/0001-40,102,-0.000938117090,0.008822934432
42.814.932/0001-18,102,0.000460445050,0.01191872699
28.692.436/0001-08,102,0.000132562522,0.004101638453
13.400.206/0001-50,102,0.000488096423,0.0001199541579
15.350.702/0001-72,102,0.000708493086,0.007440683772
34.780.641/0001-28,102,0.000158844884,0.003940094923
46.685.167/0001-34,102,0.000076795009,0.001604921182
04.128.704/0001-03,102,0.000712756370,0.001811844364
32.312.055/0001-23,102,-0.000545142829,0.01467364219
28.914.193/0001-05,102,0.000626178955,0.002313507726
14.508.605/0001-00,102,0.000721648326,0.001797660702
13.322.205/0001-35,102,0.000554541419,0.001340795659
21.762.107/0001-47,102,0.001329302320,0.01120648549
44.602.967/0001-19,90,-0.010927277388,0.105718587
42.154.626/0001-00,102,0.000413463872,0.01491568745
10.551.382/0001-03,102,0.001297236762,0.01214926533
35.551.330/0001-50,102,0.000506059392,2.302172887e-05
42.847.859/0001-80,102,0.001704414285,0.01357182957
31.120.037/0001-87,102,0.000569469391,0.002038817795
27.880.348/0001-77,102,0.000563683408,5.172040216e-05
26.261.403/0001-88,102,0.000608202075,9.720082304e-05
37.569.645/0001-50,102,0.000896919194,0.002823849323
15.494.363/0001-06,102,0.000248208671,0.001105767155
26.218.389/0001-30,102,-0.000230608963,0.004371701042
04.887.966/0001-43,102,-0.002966237530,0.01734020366
20.146.294/0001-71,102,0.000249501532,0.0007355290613
30.592.680/0001-40,102,0.000376245187,0.003651279502
